League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Greece Super League,2024-12-01,12:00:00,13,OFI,Olympiakos Piraeus,7.0,2.4,1.91,7.0,4.2,1.4,1.33,3.25,1.05,11.0,1.24,4.1,1.8,1.95,1.95,1.8,2.5,1.18,1.08,0.83,1.86,1.22,1.79,3.01,4.44,9.5,1.3,1.36,2.7,1.98,1.82,2.1,1.59,2.73,1.33,4.5,1.16
Scotland Premiership,2024-12-01,12:00:00,14,Hearts,Aberdeen,2.88,2.25,3.4,2.48,3.45,2.73,1.33,3.25,1.04,13.0,1.22,4.0,1.8,1.95,1.62,2.2,1.42,1.25,1.6,0.86,1.71,1.56,1.26,2.82,1.68,7.0,2.23,1.15,4.6,1.27,3.3,1.46,2.5,1.72,1.98,2.08,1.65
England Championship,2024-12-01,12:00:00,18,Derby County,Sheffield Wednesday,3.2,2.05,3.6,2.35,3.14,3.16,1.44,2.63,1.06,10.0,1.38,3.1,2.0,1.73,1.83,1.83,1.44,1.26,1.6,1.56,1.44,1.4,1.09,2.49,2.24,7.7,2.1,1.11,5.24,1.28,3.42,1.52,2.48,1.85,1.95,2.31,1.6
Belgium Pro League,2024-12-01,12:00:00,16,OH Leuven,RSC Anderlecht,3.6,2.2,2.88,2.83,3.3,2.45,1.36,3.0,1.05,9.0,1.3,3.45,1.88,1.9,1.7,2.05,1.6,1.25,1.36,1.38,1.5,1.26,1.43,2.69,1.84,6.5,2.05,1.21,3.9,1.35,2.88,1.58,2.18,2.05,1.7,2.4,1.49
Denmark Superliga,2024-12-01,12:00:00,17,Vejle,Midtjylland,4.5,2.3,2.3,4.33,3.75,1.75,1.29,3.5,1.01,20.0,1.17,4.95,1.67,2.15,1.67,2.1,2.45,1.17,1.16,0.56,1.33,1.36,1.56,2.92,2.7,6.75,1.49,1.19,4.1,1.33,2.95,2.0,2.28,1.95,1.77,2.32,1.53
Spain La Liga,2024-12-01,12:15:00,15,Real Madrid,Getafe CF,1.83,2.38,9.0,1.34,5.0,9.48,1.4,2.75,1.05,12.0,1.3,3.6,1.93,1.91,2.38,1.53,1.05,1.15,3.2,2.63,0.29,1.86,1.05,2.91,1.28,10.25,4.8,1.3,2.88,1.57,2.14,2.02,1.71,2.59,1.39,3.55,1.2
Portugal Liga NOS,2024-12-01,12:30:00,12,GD Estoril Praia,Famalicão,4.0,1.95,3.1,3.25,3.1,2.25,1.53,2.38,1.09,7.5,1.47,2.75,2.3,1.55,2.05,1.7,1.65,1.3,1.33,1.57,1.33,1.0,1.22,2.22,2.05,6.4,1.84,1.3,3.05,1.53,2.28,1.87,1.79,2.38,1.49,3.05,1.3
Portugal LigaPro,2024-12-01,12:30:00,12,Porto II,UD Oliveirense,2.29,2.23,4.55,1.74,3.31,3.69,1.34,3.1,1.01,11.0,1.18,3.66,1.73,2.0,1.69,2.04,1.21,1.25,1.99,1.5,0.33,1.09,1.17,2.26,1.51,9.0,3.06,1.12,4.45,1.33,3.05,1.56,2.27,2.0,1.8,2.43,1.49
Portugal LigaPro,2024-12-01,12:30:00,12,CS Marítimo,Benfica II,2.56,2.09,4.25,1.94,3.01,3.32,1.44,2.67,1.03,6.8,1.31,2.82,2.06,1.76,1.84,1.86,1.27,1.29,1.75,1.0,1.83,1.51,1.48,2.99,1.64,8.5,2.66,1.13,4.25,1.36,2.88,1.62,2.16,2.0,1.72,2.57,1.45
Switzerland Super League,2024-12-01,12:30:00,16,Servette,Lugano,2.63,2.25,3.75,2.0,3.43,3.21,1.33,3.25,1.05,9.5,1.25,3.95,1.65,2.1,1.62,2.2,1.3,1.25,1.75,2.13,1.13,1.88,1.61,3.49,1.51,8.5,3.07,1.25,3.58,1.45,2.55,1.75,1.96,2.21,1.59,2.9,1.36
Bulgaria First League,2024-12-01,12:30:00,17,Ludogorets,Slavia Sofia,1.62,2.6,13.0,1.14,5.9,22.0,1.36,3.0,1.0,8.3,1.26,3.65,2.0,1.72,2.75,1.4,1.04,1.09,2.9,2.78,0.44,1.82,1.66,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Super League,2024-12-01,12:30:00,16,Young Boys,St. Gallen,2.38,2.5,4.0,1.85,3.71,3.44,1.25,3.75,1.01,17.0,1.14,5.5,1.44,2.6,1.44,2.63,1.25,1.2,1.95,1.75,1.0,1.72,1.53,3.25,1.64,8.5,2.66,1.09,5.0,1.31,3.15,1.53,2.33,1.87,1.83,2.36,1.52
Netherlands Eerste Divisie,2024-12-01,12:45:00,17,Den Bosch,Dordrecht,2.95,2.4,3.1,2.4,3.6,2.7,1.24,3.7,1.01,13.0,1.15,5.5,1.47,2.65,1.42,2.8,1.47,1.22,1.57,1.67,1.44,1.8,1.38,3.18,1.92,6.0,2.25,0.0,0.0,1.26,3.4,1.5,2.38,1.85,1.82,2.45,1.47
